,movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
274,蠟筆小新: 爆睡!,Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault,0,0,0,0
275,丹麥共居生活,The Commune,6.6,1,0,0
276,醉後之旅,Saint Amour,6.3,1,0,0
277,進擊的摔角男孩,Young Wrestlers,6.8,2,0,2
278,電影版櫻桃小丸子,CHIBI MARUKO CHAN: a boy from Italy,0,9,1,2
279,哭聲,The Wailing,7.5,78,24,12
280,大審判家,The People vs. Fritz Bauer,7.2,5,2,0
281,暴亂夜,'71,7.2,1,0,0
282,從好久以前就喜歡你,I!|ve always liked you -Confess Your Love Committee-Part 1,0,1,0,2
283,零日網路戰,Zero Days,7.8,1,1,0
284,聽見愛你的聲音,Loev,6.6,1,0,0
285,地獄哪有那麼HIGH,Too Young to Die,7.7,8,4,0
286,十年,Ten Years,7.3,78,16,2
287,我出去一下,I'm Off Then,6.2,12,5,0
288,如果這世界貓消失了,If Cats Disappeared from the World,7.4,33,19,6
289,瘋狂邁爾士,Miles Ahead,6.5,3,1,0
290,推銷員之戀,Hedi,7.1,4,2,0
291,變蟲人,Bite,4.9,2,0,2
292,攻佔羅浮宮,Francofonia,6.6,3,0,0
293,愛情天文學,Correspondence,5.9,13,3,4
294,賞金獵人,Bounty Hunters,3.8,4,0,0
295,我的老爸喵星人,Nine Lives,5.2,8,4,2
296,婚禮玩很大,Mike and Dave Need Wedding Dates,6,3,0,0
297,BJ有喜,Bridget Jone's Baby,0,26,14,0
298,神鬼駭客:史諾登,Snowden,7.4,0,0,0
299,怪奇孤兒院,Miss Peregrine's Home for Peculiar Children,7,77,25,14
300,蘇珊夫人尋婚計,Love & Friendship,6.6,6,3,0
301,玩命直播,Nerve,6.7,28,9,0
302,終極飆靶,Precious Cargo,4.6,7,1,0
303,赴湯蹈火,Hell Or High Water,0,12,10,0
304,暫時停止呼吸,Don't Breathe,7.2,49,22,12
305,屍速列車,,0,890,210,144
306,薩利機長,Sully,7.7,76,41,4
307,使徒行者,Line Walker,6.1,26,12,0
308,終極舞班,Battle Of<U+00A0>Hip Hopera,0,4,0,2
309,特厲鬼屋,Abattoir,4.5,6,0,10
310,魔詭,Morgan,5.8,5,0,4
311,鬼打牆,Take me home,0,8,2,0
312,插旗攻城市,Where to Invade Next,7.6,3,1,0
313,我的蛋男情人,My Egg Boy,NA,22,7,14
314,S風暴,S Storm,4.8,1,0,0
315,報告班長7,No Sir,0,9,1,4
316,納粹龐克,Green Room,7.1,2,1,0
317,代號: 鐵鉻行動,Operation Chromite,6.4,1,1,0
318,非普通型男,Chevalier,6.6,2,1,0
319,殿下萬萬稅,The Magnificent Nine,6.6,7,2,0
320,藥命真相,Misconduct,5.3,1,0,2
321,明天別再來敲門,A Man Called Ove,7.6,20,12,0
322,Lady's 尖頭們,Free the Nipple,3.8,0,0,0
323,愛與黑暗的故事,A Tale of Love and Darkness,6.2,8,3,2
324,白晝之雨,Himeanole,7.6,5,3,0
325,比海還深,After the Storm,7.8,32,20,0
326,吸血鬼腥靈診療,Therapy for a Vampire,6.4,1,0,0
